State,Constituency,Candidate,Party,Criminal_Cases,Education,Age,Total_Assets,Total_Liabilities
ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,KULDEEP RAI SHARMA,INC,0,GRADUATE PROFESSIONAL,52,132233012,80450870
ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,AYAN MANDAL,AITC,0,GRADUATE,30,7270440,1500000
ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,C G SAJI KUMAR,ALL INDIA HINDUSTAN CONGRESS PARTY,0,12TH PASS,48,120000,0
ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,C U RASHEED,IND,0,12TH PASS,34,,
ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,GOUR CHANDRA MAJUMDER,IND,0,GRADUATE,52,6062000,0
ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,HENRY,IND,0,10TH PASS,50,56459,0
ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,K KALIMUTHU,IND,0,8TH PASS,66,,
ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,K VENKAT RAM BABU,IND,0,10TH PASS,45,352000,0
ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,PARITOSH KUMAR HALDAR,IND,0,POST GRADUATE,61,19916000,1311000
ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,PRAKASH MINJ,BSP,0,POST GRADUATE,43,1250000,240000
ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,S SUDERSHAN RAO,IND,0,DOCTORATE,58,,
ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,SANJAY MESHACK,AAP,0,12TH PASS,49,99887782,1791076
ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,V V KHALID,IND,0,8TH PASS,51,1512000,350000
ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,VISHAL JOLLY,BJP,1,GRADUATE PROFESSIONAL,46,,
ANDHRA PRADESH,AMALAPURAM,CHINTA ANURADHA,YSRCP,0,GRADUATE,46,86393362,2431407
ANDHRA PRADESH,AMALAPURAM,GANTI HARISH MADHUR,TDP,0,GRADUATE PROFESSIONAL,30,73049918,1537488
ANDHRA PRADESH,AMALAPURAM,JANGA GOUTHAM,INC,0,GRADUATE,49,,
ANDHRA PRADESH,AMALAPURAM,MANEPALLI AYYAJI VEMA,BJP,0,GRADUATE PROFESSIONAL,59,6785061,0
ANDHRA PRADESH,AMALAPURAM,MOJAS RAJA SEKHAR DUGGIRALA,JANASENA PARTY,1,POST GRADUATE,59,28930012,0
ANDHRA PRADESH,AMALAPURAM,MORTHA SIVARAMA KRISHNA,PYRAMID PARTY OF INDIA,0,GRADUATE,29,,
ANDHRA PRADESH,AMALAPURAM,MURALIKRISHNA KANDERI,INDIA PRAJA BANDHU PARTY,0,OTHERS,41,12796,0
ANDHRA PRADESH,AMALAPURAM,PANTHAGADA VIJAYA CHAKRAVARTHY,RPI(KHOBRAGADE),0,POST GRADUATE,65,550000,0
ANDHRA PRADESH,AMALAPURAM,REVU SUDHAKAR,IND,0,10TH PASS,34,11000,0
ANDHRA PRADESH,ANAKAPALLE,DR.BEESETTI VENKATA SATYAVATHI,YSRCP,0,GRADUATE PROFESSIONAL,52,91526244,11139279
ANDHRA PRADESH,ANAKAPALLE,ADARI ANAND KUMAR,TDP,0,10TH PASS,43,410547212,205591400
ANDHRA PRADESH,ANAKAPALLE,APPALA NAIDU TUMMAGONTA,IND,0,10TH PASS,38,,0
ANDHRA PRADESH,ANAKAPALLE,CHINTALA PARTHA SARATHI,JANASENA PARTY,0,POST GRADUATE,56,,
ANDHRA PRADESH,ANAKAPALLE,DR GANDI VENKATA SATYANARAYANA RAO,BJP,0,POST GRADUATE,65,57688924,9497894
ANDHRA PRADESH,ANAKAPALLE,K B SWAROOP,JANA JAGRUTI PARTY,0,GRADUATE PROFESSIONAL,51,,
ANDHRA PRADESH,ANAKAPALLE,P.S.AJAY KUMAR,CPI(ML)(L),3,POST GRADUATE,57,1258000,0
ANDHRA PRADESH,ANAKAPALLE,RUTHALA SRIRAMA MURTHY,INC,0,GRADUATE PROFESSIONAL,49,27611641,0
ANDHRA PRADESH,ANAKAPALLE,VADLAMURI KRISHNA SWAROOP,DALITA BAHUJANA PARTY,0,POST GRADUATE,46,16500,0
ANDHRA PRADESH,ANANTAPUR,TALARI RANGAIAH,YSRCP,1,DOCTORATE,48,,
ANDHRA PRADESH,ANANTAPUR,G. LALITHA,SUCI(C),0,GRADUATE,56,1279676,0
ANDHRA PRADESH,ANANTAPUR,GIDDAMA RANGANAYAKULU,VISHWA JANA PARTY,0,POST GRADUATE,43,661000,0
ANDHRA PRADESH,ANANTAPUR,HAMSA DEVINENI,BJP,0,POST GRADUATE,33,,
ANDHRA PRADESH,ANANTAPUR,JAGADEESH DEVARAGUDI,CPI,9,8TH PASS,58,25613277,2761973
ANDHRA PRADESH,ANANTAPUR,JUTURU CHINNA REDDY PAVAN REDDY,TDP,0,GRADUATE,46,373887429,84550726
ANDHRA PRADESH,ANANTAPUR,K RAJIV REDDY,INC,0,GRADUATE PROFESSIONAL,30,,
