State,Constituency,Candidate,Party,Gender,Criminal_Cases,Education,Age,Total_Assets,Total_Liabilities,Source_URL,Year
ANDHRA PRADESH,ARAKU,GUMMA THANUJA RANI,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,,0,,31.0,"23,54,678",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,KOTHAPALLI GEETHA,BHARATIYA JANATA PARTY,,2,,53.0,"16,71,66,953",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,APPALANARASA PACHIPENTA,COMMUNIST PARTY OF INDIA (MARXIST),,4,,41.0,"29,25,792",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,AVASHYA LAHARI . VARAM,BAHUJAN SAMAJ PARTY,,0,,30.0,"53,90,634",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,SAMAREDDY BALAKRISHNA,INDEPENDENT,,0,,49.0,"2,95,77,711",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,NIMMAKA JAYARAJU,INDEPENDENT,,0,,64.0,"1,26,17,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,ATHIDHI,INDEPENDENT,,0,,32.0,"20,43,321",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,CHANTI BADNAINA,JAI BHARAT NATIONAL PARTY,,0,,28.0,"1,80,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,MOTTADAM . RAJABABU,BHARAT ADIVASI PARTY,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,RANJITH KUMAR PALAKA,INDEPENDENT,,0,,42.0,"35,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,MANDALA GIRIDHARA RAO,INDEPENDENT,,0,,42.0,"1,10,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,RAMBABU JALLI,TELUGU RAJADHIKARA SAMITI PARTY,,0,,49.0,"9,72,850",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,VUYAKA NIREEKSHAN (V. CHENCHU),INDIA PRAJA BANDHU PARTY,,0,,44.0,"4,95,948",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,NOTA,NONE OF THE ABOVE,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,KINJARAPU RAMMOHAN NAIDU,TELUGU DESAM,,4,,36.0,"23,30,73,561",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,TILAK PERADA,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,,0,,50.0,"12,75,77,004",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,PEDADA PARAMESWARA RAO,INDIAN NATIONAL CONGRESS,,1,,59.0,"5,15,75,569",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,SANAPALA SRAVAN KUMAR,INDEPENDENT,,0,,37.0,"5,42,91,939",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,NAIDUGARI RAJASEKHAR,BAHUJAN SAMAJ PARTY,,0,,40.0,"40,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,VABA YOGESWARA RAO,INDEPENDENT,,3,,39.0,"17,12,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,BETHA VIVEKANANDA MAHARAJ,INDEPENDENT,,0,,38.0,"1,70,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,YEDDU LAKSHMINARAYANA,INDEPENDENT,,0,,66.0,"8,30,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,BORUBADRA CHANDRAKALA,BHARATHA CHAITANYA YUVAJANA PARTY,,0,,37.0,"95,08,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,IPPILI SEETHARAJU,JAI BHARAT NATIONAL PARTY,,0,,47.0,"44,60,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,KAYA DURGARAO,NAVARANG CONGRESS PARTY,,0,,34.0,"5,79,500",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,CHELLURI DANIYAL,INDEPENDENT,,0,,49.0,"12,84,100",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,BOMMALI TIRUPATI RAO,PYRAMID PARTY OF INDIA,,0,,29.0,"1,20,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,NOTA,NONE OF THE ABOVE,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,APPALANAIDU KALISETTI,TELUGU DESAM,,0,,50.0,"6,23,65,187",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,BELLANA CHANDRASEKHAR,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,,5,,62.0,"2,20,00,775",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,BOBBILI SRINU,INDIAN NATIONAL CONGRESS,,0,,33.0,"1,89,91,100",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,PEERUBANDI PRAKASH RAO,BAHUJAN SAMAJ PARTY,,0,,69.0,"50,50,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,VELURI VENKATA TRINADHARAO,INDEPENDENT,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,ALLU SRIRAMULU,INDEPENDENT,,0,,48.0,"1,25,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,SIYYADULA YELLA RAO,INDEPENDENT,,0,,42.0,"3,78,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,SRINIVASA RAO SAMBHANA,YUGA THULASI PARTY,,0,,45.0,"38,34,537",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,MARISERLA KRISHNAMURTHY NAIDU,INDEPENDENT,,0,,50.0,"1,58,40,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,VANGAPANDU MAHESWARA RAO,NABA BHARATA NIRMANA SEVA PARTY,,0,,56.0,"15,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,CHINNAM ARUNA KUMAR,JAIBHIM RAO BHARAT PARTY,,0,,46.0,"19,03,500",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,ATCHIYYA NAIDU SAMIREDDY,SAMAJWADI PARTY,,0,,55.0,"84,70,863",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,ADINARAYANA TADDI,INDEPENDENT,,0,,61.0,"1,25,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,P V A ANANDA SAGAR,INDEPENDENT,,0,,60.0,"34,91,600",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,SAKHINETI ANANTHA RAJU,PYRAMID PARTY OF INDIA,,0,,50.0,"44,35,500",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,NOTA,NONE OF THE ABOVE,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,SRIBHARAT MATHUKUMILI,TELUGU DESAM,,2,,35.0,"2,98,95,86,580",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,JHANSI LAKSHMI. BOTCHA.,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,,0,,61.0,"19,76,03,661",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,P. SATYA REDDY,INDIAN NATIONAL CONGRESS,,0,,52.0,"59,39,092",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,K.A. PAUL,PRAJA SHANTHI PARTY,,6,,60.0,"1,96,071",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,PEDAPENKI SIVA PRASADA RAO,BAHUJAN SAMAJ PARTY,,0,,57.0,"1,87,37,804",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,BIKKAVOLU. CHALAMAJI,NAVARANG CONGRESS PARTY,,0,,43.0,"2,04,672",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,V.N. SATYA NARAYANA,RASHTRIYA PRAJA CONGRESS (SECULAR),,0,,44.0,"63,54,500",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,ARUNA SRI MURALA,INDEPENDENT,,0,,53.0,"28,00,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,VASUPILLI SURESH,INDEPENDENT,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,SONDI KRISHNA.,INDEPENDENT,,0,,52.0,"1,85,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
