YEAR,State,Constituency,Total_Electors,Turnout_Percent,Votes_Polled_Including_NOTA
2004,A&N ISLANDS,A&N ISLANDS,,,153825.0
2004,ANDHRA PRADESH,ADILABAD,,,831337.0
2004,ANDHRA PRADESH,AMALAPURAM,,,704224.0
2004,ANDHRA PRADESH,ANAKAPALLI,,,782106.0
2004,ANDHRA PRADESH,ANANTAPURAMU,,,875135.0
2004,ANDHRA PRADESH,BAPATLA,,,735462.0
2004,ANDHRA PRADESH,BHADRACHALAM,,,823415.0
2004,ANDHRA PRADESH,BOBBILI,,,746725.0
2004,ANDHRA PRADESH,CHITTOOR,,,875992.0
2004,ANDHRA PRADESH,CUDDAPAH,,,819201.0
2004,ANDHRA PRADESH,ELURU,,,896946.0
2004,ANDHRA PRADESH,GUNTUR,,,821478.0
2004,ANDHRA PRADESH,HANAMKONDA,,,831926.0
2004,ANDHRA PRADESH,HINDUPUR,,,868063.0
2004,ANDHRA PRADESH,HYDERABAD,,,986737.0
2004,ANDHRA PRADESH,KAKINADA,,,832284.0
2004,ANDHRA PRADESH,KARIMNAGAR,,,874498.0
2004,ANDHRA PRADESH,KHAMMAM,,,1023177.0
2004,ANDHRA PRADESH,KURNOOL,,,818809.0
2004,ANDHRA PRADESH,MACHILIPATNAM,,,755314.0
2004,ANDHRA PRADESH,MAHABUBNAGAR,,,866550.0
2004,ANDHRA PRADESH,MEDAK,,,901015.0
2004,ANDHRA PRADESH,MIRYALGUDA,,,962599.0
2004,ANDHRA PRADESH,NAGARKURNOOL,,,883350.0
2004,ANDHRA PRADESH,NALGONDA,,,1047866.0
2004,ANDHRA PRADESH,NANDYAL,,,829976.0
2004,ANDHRA PRADESH,NARASAPUR,,,768537.0
2004,ANDHRA PRADESH,NARASARAOPET,,,899784.0
2004,ANDHRA PRADESH,NELLORE,,,836502.0
2004,ANDHRA PRADESH,NIZAMABAD,,,782439.0
2004,ANDHRA PRADESH,ONGOLE,,,799109.0
2004,ANDHRA PRADESH,PARVATHIPURAM,,,660923.0
2004,ANDHRA PRADESH,PEDDAPALLI,,,939450.0
2004,ANDHRA PRADESH,RAJAHMUNDRY,,,816125.0
2004,ANDHRA PRADESH,RAJAMPET,,,691329.0
